AQN	2074	 ALGONQUIN POWER & UTILITIES CORP
AQUA	3106	 EVOQUA WATER TECHNOLOGIES CORP
AQXP	2063	 AQUINOX PHARMACEUTICALS INC
AR	3094	 ANTERO RESOURCES CORP
ARA	2064	 AMERICAN RENAL ASSOCS HLDGS INC COM
ARAY	2063	 ACCURAY INC
ARC	3105	 ARC DOCUMENT SOLUTIONS INC
ARCB	3106	 ARCBEST CORP
ARCC	1031	 ARES CAPITAL CORP
ARCH	1010	 ARCH COAL INC.
ARCI	1021	 APPLNC RECYCLNG CTRS AMER
ARCM	-1	 ARROW INVESTMENTS TRUST - ARROW RESERVE CAPITAL MANAGEMENT ETF
ARCO	1021	 ARCOS DORADOS HOLDINGS INC
ARCW	3106	 ARC GROUP WORLDWIDE INC
ARCX	-1	 -10
ARD	1021	 ARDAGH GROUP S.A.
ARDC	1031	 ARES DYNAMIC CREDIT ALLOCATION
ARDM	2063	 ARADIGM CORP
ARDX	2063	 ARDELYX INC
ARE	1042	 ALEXANDRIA REAL EST EQ INC
ARE_D	-1	 -10
ARES	1031	 ARES MANAGEMENT LP
ARES_A	-1	 -10
AREX	3094	 APPROACH RESOURCES INC
ARGS	-1	 -10
ARGX	2063	 ARGEN X SE
ARH_C	-1	 -10
ARI	1042	 APOLLO COMMERCIAL REAL ESTATE FINANCE INC
ARI_C	-1	 -10
ARII	3106	 AMERICAN RAILCAR INDUSTRIES INC
ARKG	-1	 ARK GENOMIC REVOLUTION MULTI-SECTOR ETF
ARKK	-1	 ARK INNOVATION ETF
ARKQ	-1	 ARK ETF TRUST
ARKR	1021	 ARK RESTAURANTS CORP
ARKW	-1	 ARK ETF TRUST
ARL	1042	 AMER REALTY INVESTORS INC(NEW)
ARLP	1010	 ALLIANCE RESOURCE PARTNERS LP
ARLZ	2063	 ARALEZ PHARMACEUTICALS INC
ARMK	1021	 ARAMARK
ARNA	2063	 ARENA PHARMACEUTICALS INC
ARNC	3106	 ARCONIC INC
ARNC_	-1	 -10
ARNC_B	-1	 -10
AROC	3095	 Archrock Inc
AROW	1032	 ARROW FINANCIAL CORP
ARQL	2063	 ARQULE INC
ARR	1042	 ARMOUR RESIDENTIAL REIT INC
ARR_A	-1	 -10
ARR_B	-1	 -10
ARRS	3116	 ARRIS INTERNATIONAL PLC
ARRY	2063	 ARRAY BIOPHARMA INC
ARTNA	-1	 -10
ARTW	3105	 ARTS WAY MFG INC
ARTX	3106	 AROTECH CORPORATION
ARW	3116	 ARROW ELECTRONICS INC
ARWR	2063	 ARROWHEAD PHARMACEUTICALS INC.
ASA	1031	 ASA GOLD AND PRECIOUS METALS L
ASB	1032	 ASSOCIATED BANC-CORP
ASB-WS	-1	 -10
ASB_C	-1	 -10
ASB_D	-1	 -10
ASC	3106	 ARDMORE SHIPPING CORP
ASCMA	-1	 -10
ASET	-1	 FLEXSHARES TRUST
ASFI	1032	 ASTA FUNDING INC
ASG	1031	 LIBERTY ALL-STAR GROWTH FD INC
ASGN	3105	 ASGN INC
ASH	1010	 ASHLAND INC
ASHX	-1	 DBX TR X TRACKERS HARVEST CSI 300 HDGD CHINA A SHS ETF (DE)
ASIX	1010	 ADVANSIX INC
ASM	1010	 AVINO SILVER & GOLD MINES LTD
ASMB	2063	 ASSEMBLY BIOSCIENCES INC
ASML	3116	 ASML HOLDING NV
ASNA	1021	 ASCENA RETAIL GROUP INC
ASND	2063	 ASCENDIS PHARMA A/S
ASPN	1010	 ASPEN AEROGELS INC
ASPS	3105	 ALTISOURCE PORTFOLIO SOLUTIONS SA
ASPU	2053	 ASPEN GROUP INC
ASR	3106	 GRUPO AEROPORT ADS (10 SR B)
ASRV	1032	 AMERISERV FINANCIAL INC
ASRVP	-1	 -10
AST	2063	 ASTERIAS BIOTHERAPEUTICS INC
ASTC	3105	 ASTROTECH CORP
ASTE	3105	 ASTEC INDUSTRIES INC
ASUR	3116	 ASURE SOFTWARE INC
ASV	3105	 ASV HOLDINGS INC
ASX	3116	 ASE TECHNOLOGY HOLDING CO.LTD
ASYS	3116	 AMTECH SYSTEMS INC
AT	2074	 ATLANTIC POWER CORP
ATAC	-1	 -10
ATACR	-1	 -10
ATACU	-1	 -10
ATAI	2053	 ATA INC/CHINA
ATAX	1032	 AMERICA FIRST MULTIFAMILY INVE
ATEC	2064	 ALPHATEC HOLDINGS INC
ATEN	3116	 A10 NETWORKS INC
ATGE	2053	 ADTALEM GLOBAL EDUCATION INC
ATH	1032	 ATHENE HOLDING LTD
ATHM	3116	 AUTOHOME INC
ATHN	3116	 ATHENAHEALTH INC
ATHX	2063	 ATHERSYS INC
ATI	3106	 ALLEGHENY TECHNOLOGIES INC(NEW
ATKR	3106	 Atkore International Group Inc
ATLC	1032	 ATLANTICUS HOLDINGS CORP
ATLO	1032	 AMES NATIONAL CORPORATION
ATNI	3084	 ATN INTERNATIONAL INC
ATNM	2063	 ACTINIUM PHARMACEUTICALS INC
ATNX	2063	 ATHENEX INC
ATO	2074	 ATMOS ENERGY CORP
ATOM	3116	 ATOMERA INC
ATOS	2064	 ATOSSA GENETICS INC
ATR	1021	 APTAGROUP INC
ATRA	2063	 ATARA BIOTHERAPEUTICS INC
ATRC	2064	 ATRICURE  INC.
ATRI	2064	 ATRION CORP
ATRO	3105	 ASTRONICS CORP
ATRS	2064	 ANTARES PHARMA INC
ATSG	3106	 AIR TRANSPORT SERVICES GROUP I
ATTO	3105	 ATENTO SA
ATTU	3116	 ATTUNITY LTD
ATU	3106	 ACTUANT CORP (NEW)
ATUS	3084	 ALTICE USA INC
ATV	1021	 ACORN INTERNATIONAL INC
ATVI	3116	 ACTIVISION BLIZZARD INC
ATXI	2063	 Avenue Therapeutics Inc
AU	1010	 ANGLOGOLD ASHANTI LIMITEDADS (EA REPTG ONE ORD)
AUBN	1032	 AUBURN NATIONAL BANCORPORATION INC
AUDC	3116	 AUDIOCODES LTD
AUG	1010	 AURYN RESOURCES INC
AUMN	1010	 GOLDEN MINERALS CO
AUO	3116	 AU OPTRONICS CP ADS (10 COM)
AUPH	2063	 AURINIA PHARMACEUTICALS INC
AUTO	3116	 AUTOWEB INC
AUY	1010	 YAMANA GOLD INC
AVA	2074	 AVISTA CORP
AVAL	1032	 GRUPO AVAL ACCIONES Y VALORES
AVAV	3105	 AEROVIRONMENT INC
AVB	1042	 AVALONBAY COMMUNITIES INC
AVD	1010	 AMERICAN VANGUARD CORP
AVDL	2063	 AVADEL PHARMACEUTICALS PLC
AVEO	2063	 AVEO PHARMACEUTICALS INC
AVGO	3116	 BROADCOM INC
AVGR	2063	 AVINGER INC
AVH	3105	 AVIANCA HOLDINGS SA
AVHI	1021	 AV HOMES INC
AVID	3116	 AVID TECHNOLOGY INC
AVIR	-1	 -10
AVK	1031	 ADVENT CLAYMORE CONVERTIBLE SECS & INCM FD
AVNW	3116	 AVIAT NETWORKS INC
AVP	2053	 AVON PRODUCTS INC
AVT	3116	 AVNET INC
AVX	3116	 AVX CORP
AVXL	2063	 ANAVEX LIFE SCIENCES CORPORATION
AVXS	-1	 -10
AVY	3106	 AVERY DENNISON CORP
AWF	1031	 ALLIANCEBERNSTEIN GLOBAL HIGH
